time_step,i,j,seed_0,mean_margin,std_margin
0,0,0,1.8830545304472646e-14,1.8830545304472646e-14,0.0
10,0,0,3.845539067303533e-14,3.845539067303533e-14,0.0
20,0,0,5.198621345686369e-14,5.198621345686369e-14,0.0
30,0,0,6.362199314472253e-14,6.362199314472253e-14,0.0
40,0,0,7.657578997982695e-14,7.657578997982695e-14,0.0
50,0,0,9.181316731193823e-14,9.181316731193823e-14,0.0
60,0,0,8.966547800472527e-14,8.966547800472527e-14,0.0
70,0,0,1.0264369649376492e-13,1.0264369649376492e-13,0.0
80,0,0,1.027250523142828e-13,1.027250523142828e-13,0.0
90,0,0,1.1265023202450264e-13,1.1265023202450264e-13,0.0
100,0,0,1.3798121987432937e-13,1.3798121987432937e-13,0.0
110,0,0,1.507131144060439e-13,1.507131144060439e-13,0.0
120,0,0,1.6571710366800052e-13,1.6571710366800052e-13,0.0
130,0,0,1.7849876307943213e-13,1.7849876307943213e-13,0.0
140,0,0,1.7918601173151638e-13,1.7918601173151638e-13,0.0
150,0,0,1.9322442409118457e-13,1.9322442409118457e-13,0.0
160,0,0,1.849924564662625e-13,1.849924564662625e-13,0.0
170,0,0,2.0890822166781675e-13,2.0890822166781675e-13,0.0
180,0,0,2.0904392312223047e-13,2.0904392312223047e-13,0.0
190,0,0,2.09156422650153e-13,2.09156422650153e-13,0.0
200,0,0,2.5140696816028374e-13,2.5140696816028374e-13,0.0
210,0,0,2.46945747271049e-13,2.46945747271049e-13,0.0
220,0,0,2.45998181677351e-13,2.45998181677351e-13,0.0
230,0,0,2.6359890290504617e-13,2.6359890290504617e-13,0.0
240,0,0,2.8248012110855536e-13,2.8248012110855536e-13,0.0
250,0,0,2.833064728993695e-13,2.833064728993695e-13,0.0
260,0,0,3.217954331821704e-13,3.217954331821704e-13,0.0
270,0,0,3.2301659719409515e-13,3.2301659719409515e-13,0.0
280,0,0,3.2052596796346144e-13,3.2052596796346144e-13,0.0
290,0,0,3.428839514835885e-13,3.428839514835885e-13,0.0
300,0,0,3.678233932713493e-13,3.678233932713493e-13,0.0
310,0,0,3.760066260086181e-13,3.760066260086181e-13,0.0
320,0,0,3.6409308727669565e-13,3.6409308727669565e-13,0.0
330,0,0,3.7625054439237304e-13,3.7625054439237304e-13,0.0
340,0,0,3.763333503332966e-13,3.763333503332966e-13,0.0
350,0,0,3.782285628358556e-13,3.782285628358556e-13,0.0
360,0,0,4.0152042389725306e-13,4.0152042389725306e-13,0.0
370,0,0,3.900789738962851e-13,3.900789738962851e-13,0.0
380,0,0,4.350205363035792e-13,4.350205363035792e-13,0.0
390,0,0,4.617640905063558e-13,4.617640905063558e-13,0.0
400,0,0,4.5379829451477893e-13,4.5379829451477893e-13,0.0
410,0,0,4.513707658505839e-13,4.513707658505839e-13,0.0
420,0,0,4.755267360434523e-13,4.755267360434523e-13,0.0
430,0,0,4.712833313706699e-13,4.712833313706699e-13,0.0
440,0,0,5.015145200168436e-13,5.015145200168436e-13,0.0
450,0,0,4.941274169348309e-13,4.941274169348309e-13,0.0
460,0,0,5.025475478467878e-13,5.025475478467878e-13,0.0
470,0,0,5.166793642236156e-13,5.166793642236156e-13,0.0
480,0,0,5.734462384110461e-13,5.734462384110461e-13,0.0
490,0,0,6.044873260800665e-13,6.044873260800665e-13,0.0
500,0,0,6.086392240894911e-13,6.086392240894911e-13,0.0
510,0,0,6.179009127277313e-13,6.179009127277313e-13,0.0
520,0,0,6.956835823558605e-13,6.956835823558605e-13,0.0
530,0,0,6.777627504367389e-13,6.777627504367389e-13,0.0
540,0,0,7.005415670301163e-13,7.005415670301163e-13,0.0
550,0,0,7.560819375099226e-13,7.560819375099226e-13,0.0
560,0,0,7.517404125405303e-13,7.517404125405303e-13,0.0
570,0,0,8.195035362118519e-13,8.195035362118519e-13,0.0
580,0,0,8.325976626893938e-13,8.325976626893938e-13,0.0
590,0,0,8.365539164167934e-13,8.365539164167934e-13,0.0
600,0,0,7.886815115917822e-13,7.886815115917822e-13,0.0
610,0,0,7.93186588458894e-13,7.93186588458894e-13,0.0
620,0,0,8.234578925854497e-13,8.234578925854497e-13,0.0
630,0,0,8.290566041839476e-13,8.290566041839476e-13,0.0
640,0,0,8.182665157431546e-13,8.182665157431546e-13,0.0
650,0,0,8.203608148696362e-13,8.203608148696362e-13,0.0
660,0,0,8.017843116867041e-13,8.017843116867041e-13,0.0
670,0,0,8.12754323478021e-13,8.12754323478021e-13,0.0
680,0,0,7.92217311716692e-13,7.92217311716692e-13,0.0
690,0,0,7.105851280650444e-13,7.105851280650444e-13,0.0
700,0,0,7.128327875888241e-13,7.128327875888241e-13,0.0
710,0,0,7.354082620647517e-13,7.354082620647517e-13,0.0
720,0,0,7.791611865252956e-13,7.791611865252956e-13,0.0
730,0,0,8.462744394144295e-13,8.462744394144295e-13,0.0
740,0,0,9.043449582940566e-13,9.043449582940566e-13,0.0
750,0,0,9.595390888100797e-13,9.595390888100797e-13,0.0
760,0,0,9.730688477205263e-13,9.730688477205263e-13,0.0
770,0,0,1.017978344848569e-12,1.017978344848569e-12,0.0
780,0,0,1.1032878170086358e-12,1.1032878170086358e-12,0.0
790,0,0,1.1072085089047778e-12,1.1072085089047778e-12,0.0
800,0,0,1.1655073607619304e-12,1.1655073607619304e-12,0.0
810,0,0,1.1820330955356062e-12,1.1820330955356062e-12,0.0
820,0,0,1.2229342972319701e-12,1.2229342972319701e-12,0.0
830,0,0,1.2462514744140951e-12,1.2462514744140951e-12,0.0
840,0,0,1.3083761504772973e-12,1.3083761504772973e-12,0.0
850,0,0,1.192949168268842e-12,1.192949168268842e-12,0.0
860,0,0,1.2026235042539302e-12,1.2026235042539302e-12,0.0
870,0,0,1.2074701048053749e-12,1.2074701048053749e-12,0.0
880,0,0,1.2368096997950051e-12,1.2368096997950051e-12,0.0
890,0,0,1.2684257940862032e-12,1.2684257940862032e-12,0.0
900,0,0,1.285523445505865e-12,1.285523445505865e-12,0.0
910,0,0,1.3248707686486227e-12,1.3248707686486227e-12,0.0
920,0,0,1.3406073126609463e-12,1.3406073126609463e-12,0.0
930,0,0,1.4133583626368962e-12,1.4133583626368962e-12,0.0
940,0,0,1.405551890154566e-12,1.405551890154566e-12,0.0
950,0,0,1.440819035261609e-12,1.440819035261609e-12,0.0
960,0,0,1.3329653136481823e-12,1.3329653136481823e-12,0.0
970,0,0,1.3500261021939797e-12,1.3500261021939797e-12,0.0
980,0,0,1.4200278323009408e-12,1.4200278323009408e-12,0.0
990,0,0,1.5675791827790553e-12,1.5675791827790553e-12,0.0
